MATNR,REFERENCIA,C1,C2,Necesidades_min,Necesidades_max
000000000092000388,BRIK CR.VERDURA HUERTA CRF F3 500 GR,,,27167.0,27167.0
000000000052620006,BRIK CREMA V.HUERTA CREMLUX 500,,,27167.0,27167.0
000000000052620009,BRIK CREMA CALABAZA CONSUM 500,P0497C,,0.0,27167.0
000000000052620025,BRIK CREMA BOGAVANTE CARREFOUR 500 GR,,,0.0,27167.0
000000000092000470,BRIK CREMA CALABACIN BONPREU 500 ML,,,0.0,27167.0
000000000052620028,BRIK CREMA VERD.MEDITER CARREFOUR 500 GR,,,0.0,27167.0
000000000052620024,BRIK CREMA BOGAVANTE CONSUM 500 GR,,,0.0,0.0
000000000092000282,BRIK CREMA CALABACIN AUCHAN 500 GR,,,0.0,0.0
000000000052620010,BRIK CREMA VERDURAS HUERTA CONSUM 500,P0497C,,0.0,0.0
000000000052620017,BRIK CREMA CALABAZA IFA ELIGES 500,,,0.0,0.0
000000000052620032,BRIK CREMA CALABAZA CARREFOUR 500 GR,,,0.0,0.0
000000000092000450,BRIK CREMA VERDURAS HUERTA EROSKI 500 F3,,,0.0,0.0
000000000052620022,BRIK CREMA CALABAZA AUCHAN 500 GR,,,0.0,0.0
000000000052620011,BRIK CREMA CALABACIN&QUESO CONSUM 500,P0497C,,0.0,0.0
000000000052620018,BRIK CREMA VERDURA HUERTA IFA ELIGES 500,,,0.0,0.0
000000000052620007,BRIK CREMA CALABAZA EROSKI 500,,,0.0,0.0
000000000052620023,BRIK CREMA VERDURAS HUERTA AUCHAN 500 GR,,,0.0,0.0
