Pedido,posicion,material,cantidad,Fecha
7132135083,00010,000000000099000030,2.000000,2023-11-21
7132135148,00010,000000000076230882,3750.000000,2023-11-27
7132135149,00010,000000000076230645,230.000000,2023-11-27
7132135150,00010,000000000076230645,230.000000,2023-11-27
7132135032,00010,000000000059230022,768.000000,2023-11-17
7132135083,00020,000000000099000031,4.000000,2023-11-21
7132134991,00010,000000000076230882,5000.000000,2023-11-14
7132135041,00010,000000000076230882,5000.000000,2023-11-17
7132135050,00010,000000000076230882,3750.000000,2023-11-20
7132135051,00010,000000000076230645,230.000000,2023-11-20
7132135076,00010,000000000076230645,230.000000,2023-11-20
7132135006,00020,000000000076230576,76800.000000,2023-11-16
7132135007,00020,000000000076230621,76800.000000,2023-11-16
7132135014,00020,000000000076230872,34400.000000,2023-11-16
7132135014,00030,000000000076230874,34400.000000,2023-11-16
7132135014,00040,000000000076230813,34400.000000,2023-11-16
7132135014,00050,000000000018000081,34400.000000,2023-11-16
7132135087,00020,000000000076230874,34400.000000,2023-11-21
7132135125,00020,000000000018000620,430000.000000,2023-11-24
7132137602,00020,000000000018000136,376000.000000,2023-11-29
7132137603,00020,000000000018000134,176000.000000,2023-11-29
7132137603,00030,000000000018000501,88000.000000,2023-11-29
7132137604,00020,000000000076230896,17200.000000,2023-11-29
7132137604,00030,000000000018000500,51600.000000,2023-11-29
7132137605,00020,000000000018000576,34400.000000,2023-11-29
7132137607,00020,000000000076230845,172000.000000,2023-11-29
7132137610,00020,000000000018000340,172000.000000,2023-11-29
7132137610,00030,000000000076230884,86000.000000,2023-11-29
7132137611,00020,000000000076230874,34400.000000,2023-11-29
7132137611,00030,000000000018000228,34400.000000,2023-11-29
7132137611,00040,000000000018000343,34400.000000,2023-11-29
7132137611,00050,000000000018000499,34400.000000,2023-11-29
7132137612,00020,000000000018000621,344000.000000,2023-11-29
7132137613,00020,000000000076230184,51600.000000,2023-11-29
7132137613,00030,000000000018000219,17200.000000,2023-11-29
7132137614,00020,000000000076230811,34400.000000,2023-11-29
7132137626,00020,000000000018000620,412800.000000,2023-11-30
7132137657,00020,000000000076230551,76800.000000,2023-12-04
7132137691,00020,000000000018000571,37600.000000,2023-12-07
7132137618,00020,000000000018000255,88000.000000,2023-12-07
7132137618,00030,000000000076230559,88000.000000,2023-12-07
7132137618,00040,000000000076230576,88000.000000,2023-12-07
7132137618,00050,000000000076230551,88000.000000,2023-12-07
7132137693,00020,000000000018000367,37600.000000,2023-12-07
7132137693,00030,000000000018000387,37600.000000,2023-12-07
7132137693,00040,000000000018000482,37600.000000,2023-12-07
7132137693,00050,000000000018000483,37600.000000,2023-12-07
7132137694,00020,000000000076230627,88000.000000,2023-12-07
7132137694,00030,000000000018000501,264000.000000,2023-12-07
