MATNR,REFERENCIA,C1,C2,Necesidades_min,Necesidades_max
000000000076230804,BRIK AVENA BIO 1 L EDGE,C0018C,P0153C,123800.0,223600.0
000000000076230823,BRIK SOJA NATURAL BIO 1L EDGE,P0339C,P7596C,17200.0,17200.0
000000000076230824,BRIK BEBIDA AVENA BIO 1L EDGE,P0339C,P7596C,0.0,68800.0
000000000076230901,BRIK SOJA NAT. BIO PORTU 1L EDGE,C0018C,P0153C,0.0,34400.0
000000000076230187,BRIK BEBIDA ARROZ 1L EDGE,C0018C,P0293C,0.0,0.0
000000000018000285,BRIK SOJA CALCIO 1L EDGE,P0293C,P2464C,0.0,17200.0
000000000018000374,BRIK AMANDE VANILLE BIO FR EDGE,P0362C,P4695C,34400.0,51600.0
000000000018000378,BRIK ALMENDRA 1L EDGE,P0293C,P2464C,17200.0,17200.0
000000000018000412,BRIK ALMENDRA SIN AZUCAR 1L EDGE,P0484C,P0499C,17200.0,17200.0
000000000018000413,BRIK ALMENDRA CALCIO 1L EDGE,P0484C,P0499C,0.0,0.0
000000000018000425,BRIK AVENA CHOCO BIO FR EDGE,P0362C,P4695C,17200.0,34400.0
000000000018000497,BRIK SOJA ZERO 1L EDGE,P7423C,P0626C,0.0,34400.0
000000000018000498,BRIK SOJA CALCIO 1L EDGE,P7489C,P0626C,51600.0,86000.0
000000000076230802,BRIK ALMENDRA PORTU 1L EDGE,P7508C,,0.0,51600.0
000000000076230807,BRIK BEBIDA AVENA FS 1L EDGE,C1004C,,0.0,0.0
000000000076230808,BRIK SOJA CALCIO FS 1L EDGE,P0360C,,0.0,0.0
000000000076230810,BRIK SOJA NATURAL 1L EDGE,P4625C,,0.0,17200.0
000000000076230811,BRIK AVENA NATURAL 1L EDGE,P4625C,,17200.0,51600.0
000000000076230827,BRIK SOJA CALCIO DIET 1 L EDGE,P7738C,,0.0,0.0
000000000076230829,BRIK SOJA CALCIO SPECIAL 1 EDGE,P7533C,,17200.0,17200.0
000000000076230841,BRIK B. ARROZ SF 1L EDGE,P7731C,,0.0,0.0
000000000076230842,BRIK ALMENDR/CAL1L EDGE,P7731C,,0.0,0.0
000000000076230843,BRIK BBDA.AVENA 1L EDGE,P7731C,,51600.0,68800.0
000000000076230844,BRIK ALMEND S/AZ 1L EDGE,P7731C,,0.0,0.0
000000000076230845,BRIK SOJA CALCIO 1L EDGE,P7731C,,120400.0,223600.0
000000000076230846,BRIK SOJA CLASSIC 1L EDGE,P7731C,,51600.0,120400.0
000000000076230847,BRIK SOJA CHOCOLAT 1L EDGE,P7731C,,0.0,0.0
000000000076230848,BRIK SOJA VANILLA 1L EDGE,P7731C,,0.0,0.0
000000000076230851,BRIK SOJA NATURAL BIO 1L EDGE,C0579C,,0.0,0.0
000000000076230853,BRIK SOJA CALCIO 1L EDGE,P0144C,,0.0,0.0
000000000076230823,BRIK SOJA SIN AZUCAR 1L EDGE,P0361C,,0.0,0.0
000000000076230855,BRIK BEBIDA AVENA 1L EDGE,P0471C,,0.0,17200.0
000000000076230856,BRIK BEBIDA ARROZ 1L EDGE,PPBLUEC,,0.0,0.0
000000000076230859,BRIK SOJA CALCIO 1L EDGE,P0641C,,0.0,0.0
000000000076230860,BRIK AVENA 0% AZUCAR 1L EDGE,P0641C,,0.0,17200.0
000000000076230861,BRIK SOJA NATURAL 1L EDGE,P0641C,,0.0,0.0
000000000076230862,BRIK ARROZ CALCIO 1L EDGE,P0641C,,0.0,17200.0
000000000076230863,BRIK AVENA CALCIO 1L EDGE,P0641C,,0.0,34400.0
000000000076230864,BRIK SOJA CALCIO 1L EDGE,P0349C,,0.0,0.0
000000000076230865,BRIK SOJA LIGHT 1L EDGE,P0349C,,17200.0,17200.0
