MATNR,REFERENCIA,C1,C2,Necesidades_min,Necesidades_max
000000000052540600,BRIK CALDO DE COCIDO DIA 1 LT SLIM,,,17600.0,105600.0
000000000092000134,BRIK CALDO DE POLLO CONSUM 1L SLIM F2,,,17600.0,176000.0
000000000092000387,BRIK CR.VERDURA HUERTA CRF F3 1L SLIM,,,17200.0,34400.0
000000000052540560,BRIK CALDO POLLO GOURMET 1L SLIM,P0202C,,35200.0,123200.0
000000000052540677,BRIK CALDO VERDURAS IFA ELIGES 1 LT SLIM,C0018C,,52800.0,70400.0
000000000092000367,BRIK CALDO DE POLLO UNIDE 1L SLIM,,,17600.0,17600.0
000000000052540712,BRIK CALDO POLLO COALIMENT 1L SLIM,P3425C,P4625C,17600.0,52800.0
000000000092000136,BRIK CALDO DE POLLO KANIA 1L SLIM F2,P1807C,P7508 C,176000.0,1707200.0
000000000092000482,BRIK CALDO DE PAELLA DIA 1 LT SLIM,,,17600.0,35200.0
000000000052540757,BRIK CALDO VERDURAS GOURMET 1L SLIM,P3305C,,17600.0,17600.0
000000000052540563,BRIK CALDO POLLO COVIRAN 1L SLIM,C1187C,,52800.0,105600.0
000000000092000501,BRIK CALDO POLLO DIA 1L SLIM F2,,,281600.0,492800.0
000000000092000571,BRIK CALDO COCIDO COALIMENT 1L SLIM,,,17600.0,17600.0
000000000052540549,BRIK CALDO PESCADO CREMLUX 1L SLIM,,,17600.0,17600.0
000000000052540627,BRIK CALDO POLLO B/SAL CARREFOUR 1L SLIM,P0143C,,17600.0,88000.0
000000000052540675,BRIK CALDO POLLO IFA ELIGES 1 LT SLIM,P0478C,,88000.0,88000.0
000000000052540621,BRIK CALDO VERDURAS LA VILLA 1L SLIM,,,17600.0,52800.0
000000000092000255,BRIK C. VERDURAS CARREFOUR 1L SLIM F2,P7489C,,0.0,17200.0
000000000092000292,BRIK CALDO DE COCIDO FAMILY 1L SLIM,P0720C,,0.0,17600.0
000000000092000161,BRIK CALDO POLLO Y JAMON KANIA 1L SLIM,P1807C,P7508 C,0.0,17600.0
000000000052540550,BRIK CALDO VERDURAS CREMLUX 1L SLIM,,,0.0,17600.0
000000000092000481,BRIK CALDO DE VERDURAS DIA 1 LT SLIM,,,0.0,17600.0
000000000052540547,BRIK CALDO CARNE CREMLUX 1L SLIM,,,0.0,17600.0
000000000052540551,BRIK CALDO DE POLLO BONPREU 1L SLIM,,,0.0,35200.0
000000000092000137,BRIK CALDO DE PESCADO KANIA 1 L SLIM F2,P1807C,P7508 C,0.0,52800.0
000000000052540559,BRIK CALDO COCIDO CONSUM 1L SLIM,,,0.0,35200.0
000000000052540758,BRIK CALDO PAELLA BON PREU 1L SLIM,,,0.0,17600.0
000000000092000600,BRIK CALDO POLLO BAJO EN SAL BM 1L SLIM,P0279C,,0.0,17600.0
000000000092000502,BRIK CALDO PESCADO DIA 1L SLIM F2,,,0.0,35200.0
000000000052540554,BRIK CALDO COCIDO CARREFOUR 1L SLIM,P0721C,,0.0,17600.0
000000000052540576,BRIK CALDO POLLO EROSKI BASIC 1L SLIM,,,0.0,17600.0
000000000052540592,BRIK CALDO PESCADO GOURMET 1 LT SLIM,PRBLUEC,P0202C,0.0,35200.0
000000000052540692,BRIK CALDO DE PAELLA KANIA 1 LT SLIM,P1807C,P7508 C,0.0,0.0
000000000092000354,BRIK FUMET DE PESCADO KANIA 1L SLIM,P1807C,P7508 C,0.0,0.0
000000000092000024,BRIK CALDO VERDURAS BONPREU 1L SLIM,,,0.0,0.0
000000000052540578,BRIK CALDO VERDURAS EROSKI  1L SLIM,,,0.0,0.0
000000000052540607,BRIK CALDO CARNE CARREFOUR 1 LT SLIM,P0710C,,0.0,0.0
000000000052540699,BRIK CALDO POLLO AYALA 1L SLIM,P0363C,C0579C,0.0,0.0
000000000092000025,BRIK CALDO CARNE BONPREU 1L SLIM,,,0.0,0.0
000000000052540546,BRIK CALDO POLLO CREMLUX 1L SLIM,,,0.0,0.0
000000000052540601,BRIK CALDO DE PESCADO DIA 1 LT SLIM,,,0.0,0.0
000000000052540671,BRIK CALDO POLLO B/SAL AUCHAN 1L SLIM,,,0.0,0.0
000000000052540558,BRIK CALDO PESCADO CONSUM 1L SLIM,,,0.0,0.0
000000000052540609,BRIK CALDO VERDURAS CONSUM 1L SLIM,,,0.0,0.0
000000000092000309,BRIK CALDO COCIDO KANIA 1L SLIM F3,P1807C,P7508 C,0.0,0.0
000000000052540713,BRIK CALDO PESCADO COALIMENT 1L SLIM,P3425C,P0288C,0.0,0.0
000000000052620031,BRIK CREMA CALABAZA CARREFOUR 1L SLIM,,,0.0,0.0
000000000092000483,BRIK CALDO COCIDO ALIMERKA 1L SLIM,,,0.0,0.0
000000000092000314,BRIK CALDO DE PESCADO GENERICO 1L SLIM,,,0.0,0.0
000000000052620021,BRIK CREMA VERDURAS MEDIT.CARREF.1L SLIM,,,0.0,0.0
000000000092000028,BRIK CALDO POLLO BIO CARREFOUR 1L SLIM,C0579C,,0.0,0.0
000000000092000263,BRIK C. PAELLA CARNE CARREFOUR 1L SLIM,P7625C,,0.0,0.0
000000000052540553,BRIK CALDO POLLO CARREFOUR 1L SLIM,P0143C,,0.0,0.0
000000000052540641,BRIK CALDO POLLO CONDIS 1L SLIM,P0478C,,0.0,0.0
000000000052540652,BRIK CALDO COCIDO EROSKI 1L SLIM,,,0.0,0.0
000000000052540697,BRIK CALDO PAELLA CARREFOUR 1L SLIM,P7413C,,0.0,0.0
000000000052540748,BRIK CALDO COCIDO IFA ELIGES 1L SLIM,P7622C,,0.0,0.0
000000000092000029,BRIK CALDO VERDURAS BIO CARREFOUR 1L SLI,C0579C,,0.0,0.0
000000000092000099,BRIK CALDO DE VERDURAS KANIA 1L SLIM,P1807C,P7508 C,0.0,0.0
000000000092000290,BRIK CALDO DE POLLO FAMILY 1L SLIM,P0610C,,0.0,0.0
000000000052540591,BRIK CALDO VERDURA AUCHAN 1 LT SLIM,,,0.0,0.0
000000000052540638,BRIK C. POLLO SAL REDUCI BONPREU 1L SLIM,P0286C,,0.0,0.0
000000000092000181,BRIK CALDO PAELLA CARNE AUCHAN 1L SLIM,,,0.0,0.0
000000000052540599,BRIK CALDO POLLO DIA 1 LT SLIM,,,0.0,0.0
000000000052540555,BRIK CALDO PESCADO CARREFOUR 1L SLIM,P2905C,,0.0,0.0
000000000052540577,BRIK CALDO CARNE EROSKI  1L SLIM,,,0.0,0.0
000000000052540676,BRIK CALDO PESCADO IFA ELIGES 1 LT SLIM,P0295C,,0.0,0.0
